Distance,Action,Reward
1.654049,Patrol,0
1.654049,Follow,-0.1
1.689588,Patrol,0
1.689588,Follow,-0.1
1.72526,Patrol,0
1.72526,Follow,-0.1
1.759226,Patrol,0
1.759226,Follow,-0.1
1.801905,Patrol,0
1.801905,Follow,-0.1
1.849885,Patrol,0
1.849885,Follow,-0.1
1.893882,Patrol,0
1.893882,Follow,-0.1
1.934877,Patrol,0
1.934877,Follow,-0.02
1.968405,Patrol,-0.1
1.968405,Follow,-0.02
2.004952,Patrol,-0.1
2.004952,Follow,-0.02
2.05141,Patrol,-0.1
2.05141,Follow,-0.02
2.114,Patrol,-0.1
2.114,Follow,-0.02
2.184189,Patrol,-0.1
2.184189,Follow,-0.02
2.263189,Patrol,-0.1
2.263189,Follow,0.05
2.341783,Patrol,0
2.341783,Follow,0.05
2.424028,Patrol,0
2.424028,Follow,0.05
2.454932,Patrol,0
2.454932,Follow,0.05
2.492021,Patrol,0
2.492021,Follow,0.05
2.523101,Patrol,0
2.523101,Follow,0.05
2.554842,Patrol,0
2.554842,Follow,0.05
2.585145,Patrol,0
2.585145,Follow,0.05
2.607928,Patrol,0
2.607928,Follow,0.05
2.607928,Patrol,0
2.607928,Follow,0.05
2.607928,Patrol,0
2.607928,Follow,0.05
2.607928,Patrol,0
2.607928,Follow,0.05
2.607928,Patrol,0
2.607928,Follow,0.05
2.607928,Patrol,0
2.607928,Follow,0.05
2.607928,Patrol,0
2.607928,Follow,0.05
2.626405,Patrol,0
2.626405,Follow,0.05
2.713242,Patrol,0
2.713242,Follow,0.05
2.795049,Patrol,0
2.795049,Follow,0.05
2.885934,Patrol,0
2.885934,Follow,0.05
3.056291,Patrol,0
3.056291,Follow,0.05
3.138752,Patrol,0
3.138752,Follow,0.05
3.222092,Patrol,0
3.222092,Follow,0.05
3.306862,Patrol,0
3.306862,Follow,0.05
3.391659,Patrol,0
3.391659,Follow,0.05
3.470536,Patrol,0
3.470536,Follow,0.05
3.560354,Patrol,0
3.560354,Follow,0.05
3.650621,Patrol,0
3.650621,Follow,0.05
3.731636,Patrol,0
3.731636,Follow,0.05
3.806472,Patrol,0
3.806472,Follow,0.05
3.877798,Patrol,0
3.877798,Follow,0.05
3.951781,Patrol,0
3.951781,Follow,0.05
4.025178,Patrol,0
4.025178,Follow,0.05
4.096892,Patrol,0
4.096892,Follow,0.05
4.171747,Patrol,0
4.171747,Follow,0.05
4.24388,Patrol,0
4.24388,Follow,0.05
4.319097,Patrol,0
4.319097,Follow,0.05
4.396163,Patrol,0
4.396163,Follow,0.05
4.562402,Patrol,0
4.562402,Follow,0.05
4.607921,Patrol,0
4.607921,Follow,0.05
4.60792,Patrol,0
4.60792,Follow,0.05
4.607921,Patrol,0
4.607921,Follow,0.05
4.60792,Patrol,0
4.60792,Follow,0.05
4.607921,Patrol,0
4.607921,Follow,0.05
4.607921,Patrol,0
4.607921,Follow,0.05
4.60792,Patrol,0
4.60792,Follow,0.05
4.607921,Patrol,0
4.607921,Follow,0.05
4.60792,Patrol,0
4.60792,Follow,0.05
4.607921,Patrol,0
4.607921,Follow,0.05
4.607921,Patrol,0
4.607921,Follow,0.05
4.607921,Patrol,0
4.607921,Follow,-0.02
4.607921,Patrol,-0.1
4.607921,Follow,-0.02
4.592006,Patrol,-0.1
4.592006,Follow,0.05
4.550331,Patrol,0
4.550331,Follow,0.05
4.550331,ShootLaser,2
4.503268,Patrol,0
4.503268,Follow,0.05
4.422451,Patrol,0
4.422451,Follow,0.05
4.340564,Patrol,0
4.340564,Follow,0.05
4.185941,Patrol,0
4.185941,Follow,0.05
4.108637,Patrol,0
4.108637,Follow,0.05
4.031263,Patrol,0
4.031263,Follow,-0.02
3.953155,Patrol,-0.1
3.953155,Follow,-0.02
3.880394,Patrol,-0.1
3.880394,Follow,0.05
3.839197,Patrol,0
3.839197,Follow,0.05
3.797109,Patrol,0
3.797109,Follow,0.05
3.702653,Patrol,0
3.702653,Follow,0.05
3.605136,Patrol,0
3.605136,Follow,0.05
3.529428,Patrol,0
3.529428,Follow,0.05
3.451785,Patrol,0
3.451785,Follow,0.05
3.379007,Patrol,0
3.379007,Follow,0.05
3.301014,Patrol,0
3.301014,Follow,0.05
3.214602,Patrol,0
3.214602,Follow,0.05
3.126954,Patrol,0
3.126954,Follow,-0.02
3.059319,Patrol,-0.1
3.059319,Follow,-0.02
3.010814,Patrol,-0.1
3.010814,Follow,-0.02
2.992965,Patrol,-0.1
2.992965,Follow,-0.02
2.975758,Patrol,-0.1
2.975758,Follow,0.05
2.977383,Patrol,0
2.977383,Follow,0.05
2.973415,Patrol,0
2.973415,Follow,0.05
2.953224,Patrol,0
2.953224,Follow,0.05
2.940059,Patrol,0
2.940059,Follow,0.05
2.931128,Patrol,0
2.931128,Follow,0.05
2.927278,Patrol,0
2.927278,Follow,0.05
2.929775,Patrol,0
2.929775,Follow,0.05
2.934816,Patrol,0
2.934816,Follow,0.05
2.948934,Patrol,0
2.948934,Follow,0.05
2.933673,Patrol,0
2.933673,Follow,0.05
2.908,Patrol,0
2.908,Follow,0.05
2.88711,Patrol,0
2.88711,Follow,0.05
2.861681,Patrol,0
2.861681,Follow,0.05
2.842545,Patrol,0
2.842545,Follow,0.05
2.821522,Patrol,0
2.821522,Follow,0.05
2.802204,Patrol,0
2.802204,Follow,0.05
2.78267,Patrol,0
2.78267,Follow,0.05
2.739793,Patrol,0
2.739793,Follow,0.05
2.712848,Patrol,0
2.712848,Follow,0.05
2.689838,Patrol,0
2.689838,Follow,0.05
2.683932,Patrol,0
2.683932,Follow,0.05
2.67726,Patrol,0
2.67726,Follow,0.05
2.670171,Patrol,0
2.670171,Follow,0.05
2.662385,Patrol,0
2.662385,Follow,0.05
2.654678,Patrol,0
2.654678,Follow,0.05
2.64797,Patrol,0
2.64797,Follow,0.05
2.641932,Patrol,0
2.641932,Follow,0.05
2.636231,Patrol,0
2.636231,Follow,0.05
2.630131,Patrol,0
2.630131,Follow,0.05
2.624021,Patrol,0
2.624021,Follow,0.05
2.617848,Patrol,0
2.617848,Follow,0.05
2.611056,Patrol,0
2.611056,Follow,0.05
2.604313,Patrol,0
2.604313,Follow,0.05
2.597539,Patrol,0
2.597539,Follow,0.05
2.584684,Patrol,0
2.584684,Follow,0.05
2.578119,Patrol,0
2.578119,Follow,0.05
2.572148,Patrol,0
2.572148,Follow,0.05
2.565286,Patrol,0
2.565286,Follow,0.05
2.503648,Patrol,0
2.503648,Follow,0.05
2.454845,Patrol,0
2.454845,Follow,0.05
2.420374,Patrol,0
2.420374,Follow,0.05
2.409865,Patrol,0
2.409865,Follow,0.05
2.423942,Patrol,0
2.423942,Follow,0.05
2.457395,Patrol,0
2.457395,Follow,0.05
2.507892,Patrol,0
2.507892,Follow,0.05
2.570554,Patrol,0
2.570554,Follow,0.05
2.643896,Patrol,0
2.643896,Follow,0.05
2.730326,Patrol,0
2.730326,Follow,0.05
2.82689,Patrol,0
2.82689,Follow,0.05
2.925207,Patrol,0
2.925207,Follow,0.05
3.051837,Patrol,0
3.051837,Follow,0.05
3.317958,Patrol,0
3.317958,Follow,0.05
3.465242,Patrol,0
3.465242,Follow,0.05
3.615185,Patrol,0
3.615185,Follow,0.05
3.769814,Patrol,0
3.769814,Follow,0.05
3.947683,Patrol,0
3.947683,Follow,0.05
4.11395,Patrol,0
4.11395,Follow,0.05
4.313748,Patrol,0
4.313748,Follow,0.05
4.523982,Patrol,0
4.523982,Follow,0.05
4.691447,Patrol,0
4.691447,Follow,0.05
4.858513,Patrol,0
4.858513,Follow,0.05
5.029336,Patrol,0
5.029336,Follow,0.1
5.189853,Patrol,0
5.189853,Follow,0.1
5.259257,Patrol,0
5.259257,Follow,0.1
5.292908,Patrol,0
5.292908,Follow,0.1
5.328569,Patrol,0
5.328569,Follow,0.1
5.358866,Patrol,0
5.358866,Follow,0.1
5.392936,Patrol,0
5.392936,Follow,0.1
5.453243,Patrol,0
5.453243,Follow,0.1
5.482446,Patrol,0
5.482446,Follow,0.1
5.510151,Patrol,0
5.510151,Follow,0.1
5.537092,Patrol,0
5.537092,Follow,0.1
5.563454,Patrol,0
5.563454,Follow,0.1
5.589789,Patrol,0
5.589789,Follow,0.1
5.621282,Patrol,0
5.621282,Follow,0.1
5.650148,Patrol,0
